,Countries,Local,Industry Sector,Accident Level,Potential Accident Level,Genre,Employee or Third Party,Critical Risk,Description,year,month,day,Weekday,WeekofYear
113,Country_02,Local_05,Metals,1,III,Male,Third Party,Manual Tools,employee sanding piece electrolysis end operation protective cap disk spun back left hand,2016,5,5,Thursday,18
114,Country_02,Local_08,Metals,1,II,Male,Third Party (Remote),Manual Tools,die cutting feeder pead geomembrane blanket weld seam store extruder stylet blade came direction left forearm resulting blunt short injury,2016,5,5,Thursday,18
115,Country_01,Local_03,Mining,1,III,Male,Third Party,Others,welding workshop level ex tunnel quinoa moments assistant raised wooden strut long x diameter kg weight place work table height treads another wooden strut placed floor losing balance falling level lying laterally concrete wall causing bruise left shoulder,2016,5,11,Wednesday,19
116,Country_01,Local_06,Metals,1,II,Male,Third Party (Remote),Chemical substances,sunday collaborator goes medical center saying accident days ago performed internal maintenance work heat exchangers defined confined space risk burning acid leaving confined space employee removes protective gloves without passed emergency shower moment skin contact occurs sulfates generating lesion,2016,5,12,Thursday,19
117,Country_01,Local_01,Mining,1,IV,Male,Third Party,Others,moments truck transport personnel company mceisa plate ajg moved nv surface missing reach mouth nv gearbox respond driver stops truck inspect along maintenance personnel time traveling truck raise cabin manually put change first continue trip culminated task driver support maintenance personnel lower cabin due weight falls hitting driver cabin hopper truck time accident employee wearing safety helmet chin strap,2016,5,11,Wednesday,19
118,Country_01,Local_01,Mining,1,IV,Male,Third Party,Others,completing welding work backhoe bucket made hours used glass moon welder feels slight discomfort eyes transferred medical service evaluation accident welder used facial mask welding,2016,5,14,Saturday,19
119,Country_01,Local_11,Others,1,II,Male,Employee,Others,employee milpo lima visited facilities level waiting personnel cage go level drops water fall ceiling height meters approximately product slight filtration crown sustained shotcrete drop enters right eye causing discomfort right eye according employee time accident lenses removed clean happened visit interior mine,2016,5,17,Tuesday,20
120,Country_01,Local_03,Mining,1,IV,Male,Third Party (Remote),Others,el porvenir sub station level assembling metal structure approximately kg support lifting system three operators try accommodate structure anchor base moment metallic structure slides direction injured worker right hand producing slight right hand accretion head bolt base structure causing injury time accident operators made use safety gloves,2016,5,19,Thursday,20
121,Country_02,Local_05,Metals,1,III,Male,Employee,Others,employee performing carbon steel pipe marking activity helmet struck tube causing scalp wound due impact helmet sheepskin,2016,5,18,Wednesday,20
122,Country_02,Local_08,Metals,1,III,Male,Employee,Blocking and isolation of energies,maintenance lx p b pump projection silicate pulp reaching right leg employee,2016,5,22,Sunday,20
123,Country_01,Local_06,Metals,1,I,Male,Third Party,Fall prevention (same level),circumstances collaborator juveni performed washing tabolas pot washing area suffers feeling dizziness faintness causing fall level producing slight concussion head,2016,5,20,Friday,20
124,Country_01,Local_03,Mining,1,IV,Male,Third Party,Others,transit fuel tanker level level north ramp passing level operator feels right rear tire skids operator performs defensive maneuver truck hits left gable causing injury described time accident pilot co pilot wearing safety belt safety glasses helmet,2016,5,22,Sunday,20
125,Country_03,Local_10,Others,4,IV,Male,Third Party,Fall,field trip return work lunch employee wellfield company slipped loose stones place moment intention balancing tried hold onto tree falling right arm causing fracture distal end radius activity paralyzed employee referred hospital paracatu underwent medical care,2016,5,24,Tuesday,21
126,Country_01,Local_04,Mining,1,III,Male,Employee,Others,approximately workshop mechanical maintenance surface mr orlando boltec assistant mr macedonio made cut link shorten distance chain hold injection hose resin instant saw blade leaves cutting position affecting second finger left hand causing injury,2016,5,12,Thursday,19
127,Country_01,Local_04,Mining,2,III,Male,Employee,Others,tests soft starter engine belt collaborator igor moves around site approximately pm falls trench electric cables deep found partially discovered,2016,5,25,Wednesday,21
128,Country_02,Local_02,Mining,1,V,Male,Employee,Others,checking voltage power outlet plug socket make sure connection correct small electrical arc power cord causing slight burn right hand wrist protection system acted immediately,2016,5,27,Friday,21
129,Country_03,Local_10,Others,1,I,Male,Third Party,Bees,ground team coordinated prospector assistants da silva wila p prong opening access collect soil samples auxiliar came across tried divert meters right place moment diversion came across marimbondo house front giving time action since thugs already agitated da silva times sting head another behind neck stings face since allergy tests verified allergic reaction washed affected part returned normal activities,2016,5,25,Wednesday,21
130,Country_03,Local_10,Others,1,I,Male,Third Party,Bees,geological reconnaissance activity farm mr l zaro team composed felipe divino de morais normal activity encountered ciliary forest needed enter forest verify rock outcrop front divine realized opening access machete moment took bite neck attacks allergic reaction continued work normally work completed leaving forest access divine assistant attacked snake suffered sting forehead moment moved away area verified type allergic reaction returned normal activities,2016,5,26,Thursday,21
131,Country_03,Local_10,Others,1,I,Male,Employee,Others,geological reconnaissance activity farm mr l zaro team composed felipe divino de morais normal activity encountered ciliary forest needed enter forest verify rock outcrop front divine realized opening access machete moment took bite neck attacks allergic reaction continued work normally work completed leaving forest access divine assistant attacked snake suffered sting forehead moment moved away area verified type allergic reaction returned normal activities,2016,5,26,Thursday,21
132,Country_02,Local_05,Metals,1,III,Male,Employee,Cut,clerk peeling pulling sheet came another one struck th chirodactile left hand tearing pvc sleeve caused cut,2016,6,1,Wednesday,22
133,Country_02,Local_05,Metals,1,III,Male,Employee,Cut,process washing material becker tip material broken caused cut th finger right hand,2016,6,2,Thursday,22
134,Country_01,Local_01,Mining,1,II,Male,Third Party,Others,circumstances collaborator performed cleaning ditch cm deep removing pipe hdpe material estimated weight kg together two collaborators pushing tube drain dune collaborator hit lower right side lip producing slight blow lip time event collaborator safety helmet glasses gloves,2016,6,3,Friday,22
135,Country_01,Local_04,Mining,5,V,Male,Third Party,Others,p approximately nv tecnomin winery mr chagua bodeguero alone cutting wires grinder previously removed protection guard disk inches diameter adapted disk crosscutter approximately inches originating traumatic amputation two fingers left hand,2016,6,4,Saturday,22
136,Country_03,Local_10,Others,2,II,Male,Third Party,Others,field trip lt lajes target junior da costa official stepped wooden stump ground approximately cm pierced boot wounding sole right foot time accident employee using ppe required activity hands free employee taken hospital went medical care released return activities next day work,2016,6,3,Friday,22
137,Country_01,Local_03,Mining,1,III,Male,Employee,Others,level ore hauling activity locomotive op bines times convoy traveling hopper op assistant motorist riding saddle holding pole struck weakly split set suspended hdp pipeline gable work meters floor time accident assistant wearing safety equipment wearing seatbelt time accident split set accompanied movement path convoy,2016,6,5,Sunday,22
138,Country_01,Local_06,Metals,1,I,Male,Employee,Fall prevention,employee works electrician management electrometallurgy suffers contusion right leg suffering slip height step staircase code ele abb furnace cat ladder immediately referred collaborator medical service treated,2016,6,5,Sunday,22
139,Country_01,Local_04,Mining,1,III,Male,Third Party,Others,times workers technician mr orlando boltec cia wanted pass hand stacker sardinel technician pulled hydraulic arm mr pushing nail equipment reaching trench rim tied team turns forward falling technician,2016,6,8,Wednesday,23
140,Country_01,Local_01,Mining,1,I,Male,Employee,Others,circumstances employee made connection electric cable jumbo operator feels discomfort face cleaning hand using rubber glove generating superficial laceration small wound left cheekbone,2016,6,7,Tuesday,23
141,Country_01,Local_03,Mining,1,III,Male,Third Party,Others,phase iii concentrator plant maintenance personnel carried removal transmission belt flotation cell pb cleaning moment mechanic removed belt leans left leg slides towards grating floor leaving foot two pipes generating lesion described work carried floor level time accident staff put safety equipment,2016,6,7,Tuesday,23
142,Country_01,Local_06,Metals,4,IV,Male,Employee,Fall prevention (same level),approximately p operator eustaquio falls metal platform gives access tank strong acid leaching stage suffers luxo fractures wrist left leaning floor hand operator directed first tank strong acid leaching stage tk verify entry spent taque,2016,6,8,Wednesday,23
143,Country_03,Local_10,Others,1,I,Male,Third Party,Bees,project vazante carried sediment collection current south mata target drainage serra garrote team composed members wca company r leandro jehov nio moving one collection point another inside shallow drainage saw bee carton reaction move away box quickly possible avoid stings ran meters looking safe area exit radius attack bees breno attacked consequently suffered stings belly jehovah hand verified type allergic reaction returned normal activities,2016,6,8,Wednesday,23
144,Country_03,Local_10,Others,1,I,Male,Third Party,Others,project vazante carried sediment collection current south mata target drainage serra garrote team composed members wca company r leandro jehov nio moving one collection point another inside shallow drainage saw bee carton reaction move away box quickly possible avoid stings ran meters looking safe area exit radius attack bees breno attacked consequently suffered stings belly jehovah hand verified type allergic reaction returned normal activities,2016,6,8,Wednesday,23
145,Country_02,Local_05,Metals,1,III,Male,Third Party (Remote),Manual Tools,employee reports working brushcutters near stone blade equipment collided piece metal projected toward leg causing injury left leg,2016,6,10,Friday,23
146,Country_01,Local_01,Mining,1,IV,Male,Employee,Others,mooring faneles detonating cord completed injured person proceeds tie detonating cord safety guide slow wick distance meters top work moment finish mooring rock bank cm x cm x cm kg front height meters falls floor close injured disintegrates several fragments one cmx cmx cm kg slides fragments rock impacts left leg victim time accident operator used safety boots accompanied supervisor,2016,6,13,Monday,24
147,Country_01,Local_03,Mining,1,IV,Male,Third Party,Others,activity construction wall stopper mortar blocks improve ventilation intermediate zone moments bricklayer assistant preparing complete construction high wall part wall blocks kg per block fall towards scaffold mason assistant jumps towards accumulation sand located one side avoid hit blocks fall injury described occurs time accident mason assistant jumps height floor work used personal safety equipment reduced impact fall,2016,6,16,Thursday,24
148,Country_03,Local_10,Others,1,I,Male,Third Party,Bees,geologo auxiliary elismar traveled evaluate geological points following gps near drainage following state highway gives access aripuan area stopped got vehicle see point identified gps renato distancing seven meters vehicle following road surprised four bites thorns face neck quickly hurried back vehicle moving away place clerk wearing girdle goggles still wearing gloves would enter forest area allergic reaction,2016,6,16,Thursday,24
149,Country_03,Local_10,Others,1,I,Male,Third Party,Bees,geologist auxiliary ademir traveled field evaluate geological points following gps near drainage following state highway gives access aripuan area stopped got vehicle see point identified gps rio distancing five meters vehicle following road surprised two bites thorns face quickly hurried back vehicle moving away place clerk wearing girdle goggles still wearing gloves would enter forest area allergic reaction,2016,6,16,Thursday,24
150,Country_03,Local_10,Others,1,I,Male,Third Party,Bees,safety technical moved field inspection activity way field paused together two teams order know drainage points checked safety getting vehicle struck sting weed neck quickly returned vehicle made radio communication two teams distanced place clerk wearing leggings glasses allergic reaction,2016,6,16,Thursday,24
151,Country_03,Local_10,Others,1,I,Male,Third Party,Bees,auxiliary geologist traveled field evaluate geological points following gps near drainage following state highway gives access aripuan area stopped got vehicle see point identified gps ademir distancing five meters vehicle accompanied geologist mario surprised two bites blows neck quickly hurried back vehicle moving away place clerk wearing girdle goggles still wearing gloves would enter forest area allergic reaction,2016,6,16,Thursday,24
152,Country_03,Local_10,Others,1,I,Male,Employee,Bees,traveling field order make geological mapping geologist manoel accompanied prospector marcos stooped deviate vegetation time received three whistling stings two face one neck allergic reaction activities followed normally event,2016,6,18,Saturday,24
153,Country_03,Local_10,Others,1,I,Male,Third Party,Bees,moving field make geological mapping prospector marcos accompanied geologist manoel stooped deviate vegetation moment received whistling sting ring finger right hand allergic reaction activities followed normally event,2016,6,18,Saturday,24
154,Country_02,Local_08,Metals,4,V,Male,Employee,"
Not applicable",approximately pm operator paulo operator filters informed autoclave operator via radio leak side scruber autoclave iii feed stopped control officials georli renato initiated procedures closing autoclave transfer valve flash tqs soon break chicken projecting pulp hot reaching three employees inside room near equipment,2016,6,17,Friday,24
155,Country_01,Local_03,Mining,4,IV,Male,Third Party,Others,operator scissor leaves equipment parked level acc due electrical problems maintenance personnel arrives electrician climbs control platform equipment performs verification hydraulic system confirming problem coordination mechanic decide perform test diesel system moments accidentally activates body arm movement lever causing drill arm move downwards generating left hand atricion support pivot tube generating lesion described time accident electrician alone control platform mechanic ground level observing pressure diesel system pressure gauge,2016,6,19,Sunday,24
156,Country_01,Local_01,Mining,1,III,Male,Third Party,Others,mechanical technician proceeded perform maintenance motor supports tipper decided bring wooden block moved temporary storage materials located tipper circumstances sought cue camera tire burst suddenly right involved thunderous sound affected right ear worker tire exploded psi pressure approximately time event stacked pneumatic second one exploded presented cut place energy released tire upper part projected tires left previous guard night shift storage area roof place event affected mechanic located distance workers area trucks parked none suffered damage glass,2016,6,21,Tuesday,25
157,Country_01,Local_03,Mining,1,III,Male,Third Party (Remote),Others,level access siemag camera roof times piquero civil operator looked stilson key inside metal tool box open metal lid x x kg weight hands push lid backwards positioning right hand near base lid causing incentration fifth finger lid structure box height hinge time accident employee wore pad gloves reduced consequence injury,2016,6,22,Wednesday,25
158,Country_02,Local_08,Metals,1,II,Male,Employee,Manual Tools,handling lever move sludge employee moved making pendulum movement striking chin,2016,6,23,Thursday,25
159,Country_01,Local_01,Mining,1,III,Male,Third Party,Others,change rim position jumbo moments mechanical technician support electrician disengaged bolts loosening fourth nut help lever metal tube diameter length weight kg bouncing effect returning initial position hitting palm left hand electrician technician causing injury employees time accident used ppe including leather gloves,2016,6,24,Friday,25
160,Country_01,Local_01,Mining,1,IV,Male,Third Party,Others,circumstances operator scooptram proceeded sit equipment closing door takes right hand handrail places close door hinge closing traps part worker middle finger worker time accident made use leather safety gloves,2016,6,24,Friday,25
161,Country_01,Local_01,Mining,1,IV,Male,Employee,Others,plant work geho pump reducer n accompanying rotation shaft reducer mixed key wrench crown hits housing geho pump attributing union area fifth fourth fingers welder right hand causing injury time accident equipment blocked employee used leather gloves,2016,6,29,Wednesday,26
162,Country_01,Local_03,Mining,5,V,Male,Third Party,Others,access level installation activity hydraulic filling pipes diameter installing section height reference floor master hydraulic filling accident partner suffers attrition right hand upper edge scoop lamp roof work generating injury time accident employee used rubber gloves,2016,7,2,Saturday,26
163,Country_01,Local_06,Metals,3,IV,Male,Third Party,Pressed,mr frank support another mechanic preparing place floor metal part called rear bridge forklift moment part moving part moves generating blow middle finger left hand,2016,7,4,Monday,27
164,Country_01,Local_03,Mining,1,II,Male,Third Party,Others,level gallery performing manual unlocking load worker prepares cut sacrificial mesh exposed previous turn shot placing inch shear cutting fifth suddenly strained wire mesh returns face casion ndole injury described activity worker used safety glasses,2016,6,24,Friday,25
165,Country_01,Local_01,Mining,1,II,Male,Employee,Others,circumstances adjutant scissor bolter came team ladder last step slides approximate height falls sitting floor time accident person involved use helmet rocks materials crash site,2016,7,8,Friday,27
166,Country_01,Local_03,Mining,4,V,Male,Third Party,Others,moments maperu truck plate f returned city pasco unit transporting consultant meters main gate lane invaded civilian vehicle making driver turn sharply side right staff company impromec hot melt work pipe impacting two collaborators causing injuries described time accident truck traveling km h according inthinc width road meters activity safety cones warning sides road employees used respective epp,2016,7,7,Thursday,27
167,Country_01,Local_03,Mining,1,IV,Male,Third Party,Others,moments maperu truck plate f returned city pasco unit transporting consultant meters main gate lane invaded civilian vehicle making driver turn sharply side right staff company impromec hot melt work pipe impacting two collaborators causing injuries described time accident truck traveling km h according inthinc width road meters activity safety cones warning sides road employees used respective epp,2016,7,7,Thursday,27
168,Country_01,Local_06,Metals,3,IV,Male,Third Party,Manual Tools,h approx hours operator fernando opening wagons finds hardened stake uses bar approx remove moment presses bar hits hand,2016,7,8,Friday,27
169,Country_03,Local_10,Others,3,IV,Male,Third Party,Others,execution drilling target bolt brjcldd made company servitecforaco probe july official josimar da silva moment maneuver fish material removing feeder water movement winch realized safety chain loose could curl rod performing chain removal movement placed left hand hose cap hydraulic plate unlocking inner tube abrupt movement chain pushing hand towards hydraulic plate causing injury ring finger hand lesion caused cut th quirodactyl need suture points close cut,2016,7,9,Saturday,27
170,Country_01,Local_04,Mining,4,IV,Male,Third Party,Others,operator paste filling plant removes floor grating x cm clean lower floor removed close water valve block vacuum two technicians entering filter belt notice overflow ask operator reduce load mechanics kept walking without noticing floor one falls void impacting foot left angle cm floor grating producing injury,2016,7,10,Sunday,27
171,Country_02,Local_05,Metals,3,IV,Male,Third Party (Remote),Suspended Loads,accident occurred time employee partner company sf carried unloading operation bladder bags cutting bag charging boom silo truck delivery mouth inner plastic bag surrounding contents abruptly dropped large amount material fell onto cone funnel cone fell injured man stood leg pressed body guard scaffold external medical attention verified fracture,2016,7,11,Monday,28
172,Country_01,Local_03,Mining,1,II,Male,Employee,Others,level entrance locomotive workshop welder proceeds inspect mining cars identifies car bearing problems informs partner finding decides enter car workshop operates swing arm type mona kg weight move direction railway towards central op moment pushes rocker weight body right hand comes contact rock producing injury described time accident worker wearing safety gloves pad,2016,7,14,Thursday,28
173,Country_02,Local_05,Metals,1,II,Female,Employee,Chemical substances,handling sample laboratory sleeve employee coat contact nitric acid absorbing small amount came reach left forearm causing st degree burn,2016,7,15,Friday,28
174,Country_01,Local_03,Mining,1,IV,Male,Third Party,Others,level gallery holding activity bolter equipment operator performs drilling first hole support right gable foot deep drill end drill rod breaks leaving threads inside drilling machine shank operator assistant decide make two empty percussion attempts free threads shank without success third attempt assistant enters corrugated iron central hole rest bar embedded shank generate pressure moment operator activates percussion generates movement shank hits palm victim left hand generating described injury worker wearing safety gloves time accident end corrugated iron contact left hand shaped like cane worker time accident positioned roof supported mesh split set,2016,7,16,Saturday,28
175,Country_01,Local_06,Metals,1,III,Male,Third Party,Fall prevention (same level),hours collaborator warrin welder trying inspect cracking point inlet g laminator slips falls level hitting face hand immediately transferred medical service evaluation,2016,7,18,Monday,29
176,Country_02,Local_05,Metals,1,III,Male,Employee,Chemical substances,employee reports draining ammonia used refrigerant container water splashes solution drained onto face,2016,7,20,Wednesday,29
177,Country_02,Local_12,Others,1,II,Female,Employee,Traffic,eus bio bridge sudden braking several cars brake quickly collaborator car failed stop time collided rear car ahead km hour,2016,7,21,Thursday,29
178,Country_02,Local_08,Metals,1,II,Male,Third Party (Remote),Pressurized Systems,torch cutting activity new evaporator treatment fixings rupture hose near torch pen causing injury,2016,7,23,Saturday,29
179,Country_01,Local_03,Mining,2,IV,Male,Employee,Others,times mill operator proceeded remove vitaulic flange connecting suction pipe pump housing b intention de sanding system removing flange mineral pulp comes pressure impacts face wrist left hand generating lesion described time accident secondary mill pumps b blocked maintenance work mill operator used safety glasses,2016,7,27,Wednesday,30
180,Country_01,Local_03,Mining,1,IV,Male,Employee,Others,level access area operator scissor team preparing present second mesh continue support work operator pulls support mesh share length equally sides equipment moment roof work rock weighs approximately kg falls support mesh slides towards right side spoiler result mesh pushes operator kneeling floor platform generates lesion described rock falling directly impact operator squatting position operator moves away area walking means supported assistant,2016,7,29,Friday,30
181,Country_02,Local_07,Mining,1,II,Male,Employee,Others,employee reports upon initiating rlc front loading activity elevation aerial work platform rock fragment roof gallery dropped reaching face causing lesion,2016,7,30,Saturday,30
182,Country_02,Local_02,Mining,1,III,Male,Third Party (Remote),Others,opened access ladder people carrying truck employee right hand pressed support bracket suffering superficial injury,2016,8,2,Tuesday,31
183,Country_02,Local_05,Metals,2,III,Female,Third Party,Manual Tools,employee partner company gr reports cutting watermelon injured nd chirodactilo left hand knife,2016,8,1,Monday,31
184,Country_03,Local_10,Others,1,I,Male,Third Party,Bees,mincing team carrying activities city ju na coordinated mining technician felipe time mining technician last line away team bitten blackjack left side face allergic manifestation team continued work afternoon lunch employee sought medical care medicated released continue activities next day,2016,8,2,Tuesday,31
185,Country_01,Local_04,Mining,2,III,Male,Third Party,Others,times worker cleaning long holes production mesh negative removing polyethylene pipe suffers clogging inside drill product compressed air pressure released ejecting detritus fragments rock inside hole impacting worker forehead causing cut,2016,8,1,Monday,31
186,Country_02,Local_08,Metals,1,II,Male,Employee,Cut,removing cap wear plate warman lx bb pump left hand employee glove slipped came contact cutting part board,2016,8,4,Thursday,31
187,Country_02,Local_02,Mining,4,IV,Male,Third Party (Remote),Others,withdrawal fixed jaw wedge crusher br hoisting device hook broken causing steel cable overhead crane strike left hand employee,2016,8,11,Thursday,32
188,Country_02,Local_12,Others,1,IV,Female,Employee,Others,leaving company employee stumbled onto exit ladder building fell steps causing twisting ankle grating cinnamon,2016,8,11,Thursday,32
189,Country_01,Local_03,Mining,3,IV,Male,Employee,Others,ore transport works op bines filled tenth mining car ore assistant positioned platform hopper op places wooden board pistons chain avoid fall fines track time fragment rock cmx cm x cm kg rolls load hits distal phalanx fourth finger left hand assistant time accident wearing safety gloves pad type hopper op time accident zero energy,2016,8,12,Friday,32
190,Country_01,Local_01,Mining,3,IV,Male,Third Party,Others,circumstances drilling assistants proceeded assemble inner tube barel injured person retracts inner tube head throw manually towards top catheter inclination continue perforation moment glove left hand hooked speart point pushing left hand edge box barel originating injury time accident injured employee used rubber gloves work area well lit,2016,8,14,Sunday,32
191,Country_02,Local_08,Metals,1,III,Male,Employee,Projection,employee mr nilton made opening visit unclog moment occurred projection hot material occurring accident,2016,8,14,Sunday,32
192,Country_01,Local_01,Mining,1,IV,Male,Third Party,Others,maintaining ramp placing first cloth overlap previous mesh operator check work front return back team coordinate assistant time fragment rock weight kg non sustained area detached impacts arm team reaching bounce collaborator causing injury one involved made use epps time incident assistant back team preparing support mesh,2016,8,15,Monday,33
193,Country_01,Local_03,Mining,1,III,Male,Employee,Others,level access operator scissor performed support crown time piece rock cmx cmx cm g passes cocada support mesh height meters towards platform team breaking particles one reaches right eye causing injury,2016,8,18,Thursday,33
194,Country_01,Local_03,Mining,1,III,Male,Employee,Others,level access operator scissor carried support right gable platform arranged place split set drill squat position introduced bolt moment cocada support mesh falls crown piece rock cmx cmx cm gr approximate height impacting cervical region collaborator causing lesion described time accident crown held collaborator used safety glasses gloves,2016,8,19,Friday,33
195,Country_02,Local_05,Metals,1,III,Male,Employee,Pressed,employee performing cutting activity carbon steel pipe attached band saw machine due uneven weight distribution tube moved downward end projected upwards pressing thumb,2016,8,22,Monday,34
196,Country_02,Local_05,Metals,1,II,Male,Employee,Cut,servant would remove dishes bowl sink picking set plates one broken broken edge causing injury rd chiropactyl right hand,2016,8,24,Wednesday,34
197,Country_01,Local_03,Mining,1,IV,Male,Employee,Others,times collaborator performing evacuation inchancables mine present strip phase notices piece support mesh positioned frame return belt several attempts remove mesh belt movement using metal rake support mesh yields moving direction rotation return belt hitting collaborator hand metal structure causing contusion left hand time accident employee used leather gloves,2016,8,25,Thursday,34
198,Country_01,Local_01,Mining,1,II,Male,Employee,Others,topographic survey stp east zone victim co worker decide continue work stp west injured person walks behind co worker meters arriving loading zone intersection rpa st injured person asks sccop operator stop pass equipment stopped victim passes behind partner stuck gable trying avoid accumulation water takes third step puddle injured person steps false falls floor causing injury,2016,8,24,Wednesday,34
199,Country_02,Local_05,Metals,1,II,Male,Employee,Chemical substances,employee reports carrying activity area expedition remove overalls contact material contaminated sleeve caused st degree burn right forearm,2016,8,29,Monday,35
200,Country_01,Local_06,Metals,1,II,Male,Employee,Pressurized Systems / Chemical Substances,hours row cell suction partner removes suction hose untimely splashes electrolyte solution left eye immediately referred medical service,2016,8,27,Saturday,34
201,Country_02,Local_08,Metals,2,II,Female,Third Party (Remote),Others,execution area cleaning activity using hoe employee hit fixed metal structure area coming reach abdomen left,2016,8,30,Tuesday,35
202,Country_01,Local_06,Metals,1,II,Male,Third Party,Others,collaborator cleaning sink copper repulping area moment filling truck shovel projects sludge towards lenses soiling obstructing vision worker indicates removing lenses clean mud particles enter left eye causing discomfort referred medical center corresponding attention,2016,8,30,Tuesday,35
203,Country_02,Local_05,Metals,2,IV,Male,Third Party (Remote),Manual Tools,clerk cutting excess fiberglass passing box contact blade marble saw cut glove caused wound right hand,2016,9,1,Thursday,35
204,Country_01,Local_03,Mining,1,I,Male,Third Party,Others,level unicon plant collaborator shuttering work concrete water sedimentation basin moment nailing wood supplies another x inch strip feels metallic hammer loosen wooden handle fix grabs hammer head hits handle vertically wood generating injury time accident employee use safety gloves,2016,9,2,Friday,35
205,Country_01,Local_03,Mining,1,III,Male,Third Party,Others,surface dining room employees unit collaborator performed chicken habilitation lunch using kitchen knife comes contact distal part second finger left hand causing injury described accident employee use specific height gloves type work,2016,9,4,Sunday,35
206,Country_01,Local_04,Mining,3,IV,Male,Employee,Others,maintenance work vertical pump zinc concentrate three mechanics performing lifting maneuvers able position pump drawer instants pump becomes clogged reduced space work area order release pump place young lady lower part time released turns untimely hitting middle finger injured person right hand trellex hose,2016,9,3,Saturday,35
207,Country_01,Local_06,Metals,4,IV,Male,Employee,Suspended Loads,section row cell worker performs anode lifting correct short circuit using auxiliary hoist nylon sling time sling released anode hits back right hand causing injury worker seen medical transferred clinic external evaluation,2016,9,4,Sunday,35
208,Country_02,Local_02,Mining,1,II,Male,Employee,Others,check list area survey operator slipped foliage leucenas fell,2016,9,6,Tuesday,36
209,Country_02,Local_05,Metals,1,II,Female,Employee,Venomous Animals,participating general dds held outside area central locker room employee bitten bee,2016,9,5,Monday,36
210,Country_02,Local_07,Mining,1,II,Male,Employee,Others,employee reports performing maintenance activity pump tunnel tc pulling rotor struck piece mallet slipped hand reaching lower part left leg causing injury,2016,9,6,Tuesday,36
211,Country_01,Local_03,Mining,1,IV,Male,Third Party,Others,trying release pipe hdp pipe long diameter stuck support mesh master loader assistant pull pipe release pipe released hits lateral part cheekbone eyelid worker right generating described injury,2016,9,13,Tuesday,37
212,Country_01,Local_11,Others,3,IV,Female,Employee,Others,city conchucos ancash participating patronal feast representing company mounted horse part ceremony throwing fruits toys people attending public event noise materials pyrotechnics people trying collect gifts caused horse front close horse frightened kicked back hitting lower limbs,2016,9,12,Monday,37
213,Country_02,Local_05,Metals,1,II,Male,Employee,Suspended Loads,employee removing strap chemical container projected toward reaching lower lip anterior chest strap contaminated caustic soda caused st degree burn,2016,9,13,Tuesday,37
214,Country_03,Local_10,Others,1,I,Male,Third Party,Others,cutting vegetation open bite using sickle assistant struck vine twice liana ruptured top branch projected face auxiliary causing cut upper lip,2016,9,15,Thursday,37
215,Country_01,Local_06,Metals,1,II,Male,Third Party,Pressed,september approximately pm preventive maintenance g debarking machine bearing assembly made anode cleaning roller fitting bearing final position staff used chisel pound rope position bearing worker places left hand near head chisel warps circumstances splinter embedded proximal part thumb left hand immediately collaborator communicates supervisor evacuated medical review,2016,9,17,Saturday,37
216,Country_02,Local_05,Metals,2,IV,Male,Employee,Pressurized Systems,employee reports monitoring existence borehole tubing thermal recovery boiler ustulation area side window struck projection heated air reached face right forearm,2016,9,16,Friday,37
217,Country_03,Local_10,Others,1,I,Male,Third Party,Fall,collaborator around cleaning leaves return well borehole brapdd slipped canvas edge well hitting right side back metal structure mud swathed box causing slight excoriation employee referred local hospital medicated released activities,2016,9,20,Tuesday,38
218,Country_02,Local_05,Metals,1,II,Male,Third Party (Remote),Blocking and isolation of energies,employee performing maintenance blower residual water projection occurred face attempt remove ppe injured person contact contaminated gloves right eye causing irritation,2016,9,20,Tuesday,38
219,Country_01,Local_06,Metals,1,II,Male,Third Party,Others,lubricating technician alfredo made oil filling reducer notices oil leak tearing connection hose reducer correcting leak work finished goes lubricants workshop removes gloves observes hands affected contact hot surface goes medical center treated,2016,9,20,Tuesday,38
220,Country_01,Local_03,Mining,1,III,Male,Third Party,Others,maintenance access moment assistant places mini split set adapter clamp locked returns initial position hitting collaborator hand causing described injury time accident team sustained area arm jumbo height floor employee wearing rubber gloves,2016,9,21,Wednesday,38
221,Country_02,Local_05,Metals,2,III,Male,Third Party,Manual Tools,employee preparing rice using utensil type skimmer stir inside pressure cooker part cable broke reaching hand causing blunt cut,2016,9,21,Wednesday,38
222,Country_01,Local_01,Mining,1,IV,Male,Employee,Others,circumstances operator bolter n went ladder height resting platform floor level slips balance hitting back handrail operator door time event injured person used epp,2016,9,22,Thursday,38
223,Country_01,Local_06,Metals,1,III,Male,Employee,Others,technician operator heading towards zone lifting containers dust zinc section uses space base tranquera sardinel slipping edge rasp ndose left side thorax treated medical center local treatment returning work area,2016,9,22,Thursday,38
224,Country_01,Local_06,Metals,1,II,Female,Third Party,Pressurized Systems,h september worker confipetrol carried industrial cleaning outside acid reduction tank check progress helmet mask moment hose pipe released secured pressure clamp water air impacting lips,2016,9,27,Tuesday,39
225,Country_01,Local_04,Mining,1,II,Male,Third Party,Others,approximately marco isidro torres performing pipe standardization cx cx nv moments marco lifts air pipe spike seat pipe impacts worker safety guard,2016,9,29,Thursday,39
226,Country_01,Local_04,Mining,1,I,Male,Employee,Others,approximately mechanic removing last bolt nipple pump lime feeder reactive area mechanic positioned slightly flexing legs performs upward force hands moment feels pain spume right thigh mechanic evacuated help colleagues medical post,2016,9,30,Friday,39
